Name,Term,ES,NES
TCGA-GI-A2C8-11A,OXPHOS,27701.17493616406,1.2669271391463637
TCGA-E2-A1BC-11A,OXPHOS,27121.554599787418,1.2404179121461028
TCGA-D8-A1Y3-01A,OXPHOS,27041.86275637959,1.236773165689873
TCGA-BH-A6R9-01A,EMT,26976.18188687686,1.233769218157413
TCGA-BH-A0H9-11A,OXPHOS,26924.388455109547,1.231400419559998
TCGA-AN-A0FL-01A,OXPHOS,26908.828438957768,1.2306887744116
TCGA-BH-A0B5-11A,OXPHOS,26901.011115688638,1.2303312452083093
TCGA-D8-A1JS-01A,OXPHOS,26890.27852547299,1.229840384808024
TCGA-E2-A1LS-11A,OXPHOS,26874.021288981676,1.2290968519374568
TCGA-A7-A0CE-01A,OXPHOS,26849.377838871424,1.22796977137792
TCGA-C8-A133-01A,OXPHOS,26848.076930725347,1.227910273690923
TCGA-A2-A3XU-01A,OXPHOS,26841.998346605735,1.2276322665953228
TCGA-B6-A0IA-01A,OXPHOS,26814.759528078142,1.2263864855585827
TCGA-BH-A0E0-01A,OXPHOS,26811.065443105857,1.2262175347282844
TCGA-A7-A13G-11A,OXPHOS,26807.693224907314,1.2260633046364309
TCGA-BH-A0B8-11A,OXPHOS,26806.396154188078,1.2260039824560764
TCGA-A2-A25D-01A,OXPHOS,26782.632548866382,1.2249171420395455
TCGA-A2-A3XV-01A,OXPHOS,26778.927818754135,1.2247477043484283
TCGA-D8-A1X6-01A,OXPHOS,26755.284506116197,1.2236663655781648
TCGA-E2-A9RU-01A,OXPHOS,26753.85552994163,1.2236010106356063
TCGA-BH-A1EN-01A,OXPHOS,26742.537304217618,1.2230833659014109
TCGA-UU-A93S-01A,OXPHOS,26709.182534572752,1.2215578687706776
TCGA-E9-A1N4-01A,OXPHOS,26705.89913734745,1.221407700950615
TCGA-GM-A3XL-01A,OXPHOS,26703.339216107623,1.2212906216678667
TCGA-AO-A0JD-01A,OXPHOS,26702.14976162097,1.221236221369923
TCGA-E2-A572-01A,OXPHOS,26693.67278881925,1.2208485227641759
TCGA-AO-A03R-01A,OXPHOS,26680.163773830278,1.2202306811833727
TCGA-GM-A5PV-01A,OXPHOS,26672.26687885403,1.2198695127281194
TCGA-BH-A18P-11A,OXPHOS,26665.63241498631,1.2195660821932388
TCGA-E2-A14Y-01A,OXPHOS,26659.646815477077,1.219292327795464
TCGA-AO-A12B-01A,OXPHOS,26659.62492542157,1.2192913266427885
TCGA-A8-A07P-01A,OXPHOS,26656.701240960756,1.2191576104665527
TCGA-E9-A1RH-11A,OXPHOS,26645.191207658343,1.218631193316489
TCGA-D8-A1JI-01A,OXPHOS,26642.56571567248,1.2185111151227603
TCGA-AC-A62V-01A,OXPHOS,26636.547924144208,1.2182358884068372
TCGA-E9-A1RC-11A,OXPHOS,26633.423144458797,1.218092975039573
TCGA-C8-A1HG-01A,OXPHOS,26625.455658373932,1.2177285780645368
TCGA-E9-A5FL-01A,OXPHOS,26624.901025874973,1.2177032116688224
TCGA-E2-A15I-11A,OXPHOS,26619.7322518556,1.2174668151947974
TCGA-LL-A6FP-01A,OXPHOS,26618.30572105975,1.2174015720928621
TCGA-AC-A3YJ-01A,OXPHOS,26617.144453866626,1.2173484609549352
TCGA-LL-A9Q3-01A,OXPHOS,26612.71798654692,1.2171460142503892
TCGA-AN-A04C-01A,OXPHOS,26610.288798835103,1.2170349141311605
TCGA-LL-A7SZ-01A,OXPHOS,26606.364908037118,1.2168554530160827
TCGA-C8-A26V-01A,OXPHOS,26606.261801797562,1.2168507374004667
TCGA-LL-A5YM-01A,OXPHOS,26604.550381159257,1.216772464718598
TCGA-JL-A3YX-01A,OXPHOS,26598.04896870734,1.2164751193569987
TCGA-AO-A12G-01A,OXPHOS,26594.209510132605,1.2162995197920283
TCGA-C8-A12U-01A,OXPHOS,26593.393254876093,1.2162621879481867
TCGA-E2-A107-01A,OXPHOS,26593.33607523428,1.2162595728085697
TCGA-OL-A66P-01A,OXPHOS,26592.35478192139,1.2162146928663855
TCGA-E2-A14O-01A,OXPHOS,26592.134022353614,1.2162045963167523
TCGA-OL-A66L-01A,OXPHOS,26590.91706928987,1.2161489383575836
TCGA-D8-A27E-01A,OXPHOS,26586.936269658792,1.215966874488461
TCGA-LL-A6FQ-01A,OXPHOS,26586.342074307642,1.2159396986658448
TCGA-E2-A574-01A,OXPHOS,26584.23380542011,1.2158432759301165
TCGA-BH-A42T-01A,OXPHOS,26583.75392802026,1.2158213284963801
TCGA-B6-A0X5-01A,OXPHOS,26583.080397450896,1.21579052423774
TCGA-B6-A0RO-01A,OXPHOS,26582.994623655974,1.2157866013301786
TCGA-AC-A3QP-01A,OXPHOS,26581.249696140872,1.2157067961944823
TCGA-E9-A6HE-01A,OXPHOS,26580.908462034084,1.2156911896813403
TCGA-AR-A0U0-01A,OXPHOS,26579.805672032937,1.2156407530271387
TCGA-BH-A0BM-01A,OXPHOS,26576.07761550685,1.2154702484907767
TCGA-GM-A3XG-01A,OXPHOS,26574.510054063274,1.2153985552813833
TCGA-E9-A1RB-01A,OXPHOS,26574.042182331796,1.2153771569329155
TCGA-E9-A1NI-01A,OXPHOS,26573.327227300346,1.2153444581057105
TCGA-A8-A09X-01A,OXPHOS,26571.783310822273,1.2152738463106818
TCGA-AO-A1KR-01A,OXPHOS,26566.573326531478,1.2150355650642095
TCGA-BH-A1EO-11A,OXPHOS,26566.48645581175,1.2150315919882417
TCGA-A7-A6VW-01A,OXPHOS,26562.44101231885,1.2148465715996537
TCGA-BH-A0GZ-01A,OXPHOS,26553.881158921387,1.2144550824082618
TCGA-EW-A2FW-01A,OXPHOS,26547.35201428128,1.2141564687011168
TCGA-E9-A1RG-01A,OXPHOS,26545.328096235688,1.2140639037934808
TCGA-A2-A0CT-01A,OXPHOS,26540.92465155158,1.2138625100407292
TCGA-BH-A18R-01A,OXPHOS,26536.56847838797,1.2136632782746934
TCGA-E9-A1R7-11A,Mesenchymal,26536.482361185263,1.2136593396612048
TCGA-BH-A0AW-01A,OXPHOS,26535.346000375874,1.2136073676292387
TCGA-5T-A9QA-01A,OXPHOS,26535.34037798917,1.213607110486561
TCGA-BH-A6R8-01A,OXPHOS,26533.876147836643,1.2135401431856263
TCGA-E2-A14N-01A,OXPHOS,26531.744050075366,1.2134426306243973
TCGA-AO-A0J2-01A,OXPHOS,26530.658795268275,1.213392995951097
TCGA-BH-A1FG-01A,OXPHOS,26530.21609228664,1.2133727487080357
TCGA-A8-A09E-01A,OXPHOS,26530.059657982452,1.2133655941066182
TCGA-AO-A0J7-01A,OXPHOS,26530.004117565713,1.2133630539377824
TCGA-A8-A06Q-01A,OXPHOS,26527.975573841784,1.2132702774724262
TCGA-AR-A0TU-01A,OXPHOS,26527.90006011673,1.21326682381431
TCGA-AQ-A1H2-01A,OXPHOS,26525.81816966491,1.2131716075095786
TCGA-AO-A12F-01A,OXPHOS,26523.693753016123,1.2130744462478846
TCGA-B6-A0X4-01A,OXPHOS,26523.100775379873,1.2130473261180705
TCGA-BH-A0HO-01A,OXPHOS,26522.166786839985,1.2130046096834224
TCGA-E2-A1LG-01A,OXPHOS,26521.70685276831,1.2129835743678097
TCGA-BH-A0H9-01A,OXPHOS,26521.390196655724,1.2129690919415683
TCGA-AO-A0J3-01A,OXPHOS,26515.260289219375,1.2126887375483175
TCGA-A7-A0D9-11A,OXPHOS,26514.40913556875,1.2126498096089053
TCGA-BH-A1EO-11A,Mesenchymal,26512.054561358058,1.2125421219755996
TCGA-E2-A1IK-01A,OXPHOS,26508.75336691418,1.2123911401908132
TCGA-BH-A0DV-01A,EMT,26508.094377386,1.2123610009739898
TCGA-E9-A22B-01A,OXPHOS,26507.293628097246,1.2123243783033661
TCGA-B6-A0WZ-01A,OXPHOS,26507.211368655582,1.2123206161265148
TCGA-BH-A0E0-11A,OXPHOS,26506.563417050187,1.2122909817346301
TCGA-A8-A09W-01A,OXPHOS,26506.22670238509,1.212275581920422
TCGA-GM-A3NW-01A,OXPHOS,26503.959075160503,1.2121718708511653
TCGA-BH-A18K-01A,OXPHOS,26502.813036054747,1.2121194561774575
TCGA-A8-A083-01A,OXPHOS,26498.73063987844,1.2119327457393467
TCGA-BH-A8FY-01A,OXPHOS,26498.453731641257,1.2119200812021367
TCGA-B6-A0I1-01A,OXPHOS,26498.200972993753,1.2119085211585316
TCGA-B6-A0IC-01A,OXPHOS,26496.414047253875,1.211826795212946
TCGA-EW-A1P1-01A,EMT,26495.82263951938,1.2117997468833765
TCGA-E2-A15J-01A,OXPHOS,26494.48705858743,1.2117386634191152
TCGA-E2-A2P5-01A,OXPHOS,26492.693983248755,1.211656656218542
TCGA-BH-A0DS-01A,OXPHOS,26491.835374232254,1.2116173873042295
TCGA-BH-A0DH-11A,OXPHOS,26491.17708125417,1.2115872799444745
TCGA-B6-A0I5-01A,OXPHOS,26491.16455853307,1.2115867072115396
TCGA-A7-A3RF-01A,OXPHOS,26491.124595567468,1.2115848794852502
TCGA-E2-A1B6-01A,OXPHOS,26490.396715824118,1.2115515895398592
TCGA-A8-A06O-01A,OXPHOS,26489.420879536927,1.2115069591774845
TCGA-BH-A0EE-01A,OXPHOS,26483.494135944256,1.211235896584594
TCGA-AO-A0JI-01A,OXPHOS,26483.419938384017,1.211232503121936
TCGA-AO-A03N-01B,OXPHOS,26482.03859416735,1.211169326650879
TCGA-OL-A6VR-01A,OXPHOS,26481.914895128193,1.2111636692132377
TCGA-LL-A73Z-01A,OXPHOS,26481.894484791002,1.2111627357362222
TCGA-GM-A2DB-01A,OXPHOS,26480.96462603555,1.211120208179338
TCGA-AN-A0FT-01A,OXPHOS,26478.770320325864,1.2110198505063658
TCGA-E9-A1RF-11A,OXPHOS,26477.53748272061,1.2109634660597186
TCGA-D8-A1XL-01A,OXPHOS,26474.007766295243,1.2108020327074116
TCGA-AR-A0TY-01A,OXPHOS,26471.23412303505,1.210675178740793
TCGA-BH-A0BS-01A,OXPHOS,26470.221705064847,1.210628875296785
TCGA-A7-A0CH-11A,OXPHOS,26470.032587657337,1.210620225917233
TCGA-AC-A5EH-01A,OXPHOS,26469.82685474102,1.2106108166190463
TCGA-E9-A227-01A,OXPHOS,26466.386223915146,1.2104534576413448
TCGA-S3-AA12-01A,OXPHOS,26462.43189167296,1.2102726042715377
TCGA-E2-A1B4-01A,OXPHOS,26462.000649751182,1.2102528812058013
TCGA-AQ-A04L-01B,OXPHOS,26461.10637696201,1.2102119811909458
TCGA-BH-A0HU-01A,OXPHOS,26460.81908010656,1.2101988415250653
TCGA-OL-A66O-01A,OXPHOS,26460.732569915614,1.2101948849380622
TCGA-A8-A092-01A,OXPHOS,26460.065644603175,1.2101643827741626
TCGA-D8-A27R-01A,OXPHOS,26457.487235216486,1.2100464579267383
TCGA-Z7-A8R5-01A,OXPHOS,26457.33532437142,1.2100395102079937
TCGA-AO-A03T-01A,OXPHOS,26456.796308793644,1.210014858060008
TCGA-EW-A1OY-01A,OXPHOS,26456.3019748082,1.2099922494470736
TCGA-C8-A1HI-01A,OXPHOS,26456.168510399573,1.2099861453853582
TCGA-BH-A208-01A,EMT,26455.906925947507,1.2099741816891516
TCGA-OL-A5S0-01A,OXPHOS,26455.70540943996,1.2099649652305362
TCGA-E2-A1LB-01A,OXPHOS,26455.280359429267,1.2099455253549611
TCGA-AN-A0AT-01A,OXPHOS,26453.753381681683,1.2098756882612731
TCGA-A8-A09Q-01A,OXPHOS,26453.25946755158,1.2098530988506333
TCGA-GM-A2DC-01A,OXPHOS,26452.59538026917,1.2098227264854615
TCGA-A8-A06Z-01A,OXPHOS,26450.916466317914,1.2097459405132407
TCGA-A7-A0DB-11A,OXPHOS,26450.39187061803,1.2097219478656076
TCGA-EW-A1J6-01A,OXPHOS,26449.56463891062,1.209684114008275
TCGA-AQ-A54N-01A,OXPHOS,26449.130599317657,1.209664262989643
TCGA-PL-A8LY-01A,OXPHOS,26448.85997804736,1.209651885990019
TCGA-B6-A0IK-01A,OXPHOS,26447.036364628813,1.2095684821150356
TCGA-LL-A50Y-01A,OXPHOS,26444.415202109816,1.2094486019316468
TCGA-A2-A0SW-01A,OXPHOS,26442.499428283412,1.209360983054154
TCGA-A2-A04U-01A,OXPHOS,26441.255290097444,1.209304081769776
TCGA-A8-A08J-01A,OXPHOS,26441.15837932201,1.2092996495068211
TCGA-E9-A1RE-01A,OXPHOS,26440.768876946633,1.2092818354201889
TCGA-A8-A07R-01A,OXPHOS,26439.86932794255,1.2092406940949965
TCGA-AN-A03Y-01A,OXPHOS,26439.676933062114,1.2092318948185752
TCGA-A2-A0CQ-01A,OXPHOS,26439.589047210073,1.2092278753150214
TCGA-AR-A256-01A,OXPHOS,26438.468050885538,1.2091766059854818
