,Epithelial,Mesenchymal,EMT,Luminal,Basal,TamRes,Glycolysis,OXPHOS,Hypoxia,Ferroptosis,FAO,RPMS,BPMS
Epithelial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5082919454641144e-93,0.0,0.0
Mesenchymal,0.0,0.0,0.0,0.0,0.0,1.8633885673470438e-204,0.0,3.220009013643721e-295,0.000442290388672257,0.0,0.0,0.0,0.0
EMT,0.0,0.0,0.0,0.0,0.0,3.533915873788757e-286,0.0,0.0,0.0,0.0,2.4311079812094132e-54,0.0,0.0
Luminal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Basal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TamRes,0.0,1.8633885673470438e-204,3.533915873788757e-286,0.0,0.0,0.0,0.0,1.880920198181431e-255,0.007346524974668657,0.0,1.0007786633614948e-55,1.7843470622167582e-299,1.3938576766787206e-06
Glycolysis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OXPHOS,0.0,3.220009013643721e-295,0.0,0.0,0.0,1.880920198181431e-255,0.0,0.0,0.0,0.0,0.0,0.0,7.636535498936764e-15
Hypoxia,0.0,0.000442290388672257,0.0,0.0,0.0,0.007346524974668657,0.0,0.0,0.0,0.0,0.0,0.0,3.4035281065489994e-94
Ferroptosis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAO,2.5082919454641144e-93,0.0,2.4311079812094132e-54,0.0,0.0,1.0007786633614948e-55,0.0,0.0,0.0,0.0,0.0,5.864672820352387e-26,0.0
RPMS,0.0,0.0,0.0,0.0,0.0,1.7843470622167582e-299,0.0,0.0,0.0,0.0,5.864672820352387e-26,0.0,0.0
BPMS,0.0,0.0,0.0,0.0,0.0,1.3938576766787206e-06,0.0,7.636535498936764e-15,3.4035281065489994e-94,0.0,0.0,0.0,0.0
