,Epithelial,Mesenchymal,EMT,Luminal,Basal,TamRes,Glycolysis,OXPHOS,Hypoxia,Ferroptosis,FAO,RPMS,BPMS
Epithelial,0.0,1.0592555530665151e-14,0.25923457795790805,8.378741376207608e-48,2.725387590211985e-05,4.7410556609819464e-52,1.4448718102550997e-10,1.171622681946605e-07,3.6767048202503223e-10,1.2160094063190475e-15,7.196968062678243e-08,9.65093623344155e-16,6.14021173904759e-09
Mesenchymal,1.0592555530665151e-14,0.0,0.0,0.00012741535832221006,0.0002982471092745586,1.448011566998402e-42,0.8944221265057338,5.28320905905894e-34,1.7197767424225783e-208,2.9062557168710225e-108,2.2649723792889738e-78,1.3680166220352442e-135,4.5882759071804725e-204
EMT,0.25923457795790805,0.0,0.0,1.0873410036953333e-12,0.736621077435896,1.1330588306666013e-43,1.260988274552053e-20,1.7136395421174065e-27,6.36794981465002e-210,1.277589734175853e-64,6.547366211588329e-35,2.6318547337963565e-188,8.257222416877792e-124
Luminal,8.378741376207608e-48,0.00012741535832221006,1.0873410036953333e-12,0.0,3.3151014295203124e-60,1.0607843989637031e-60,4.012931960612203e-10,0.623503984616161,0.7479201557539124,6.954924030624494e-13,2.394032013505551e-22,3.902944747118557e-11,0.7201595244398551
Basal,2.725387590211985e-05,0.0002982471092745586,0.736621077435896,3.3151014295203124e-60,0.0,8.513018395827362e-07,5.612797614715579e-83,0.00017352742708807325,0.14849483581404369,1.405282618220905e-16,1.3307199042606684e-32,2.234324459618033e-43,0.05896019281954253
TamRes,4.7410556609819464e-52,1.448011566998402e-42,1.1330588306666013e-43,1.0607843989637031e-60,8.513018395827362e-07,0.0,0.15090851262911556,0.17830635394886485,2.9758023183604647e-30,1.160006458448216e-12,5.1066195062323544e-79,2.244728010640727e-08,5.0521165571706324e-15
Glycolysis,1.4448718102550997e-10,0.8944221265057338,1.260988274552053e-20,4.012931960612203e-10,5.612797614715579e-83,0.15090851262911556,0.0,2.9031507453039953e-07,1.5503314456607595e-39,8.816185024159603e-34,7.402294978116264e-05,6.293412434177302e-76,0.0008476454484594801
OXPHOS,1.171622681946605e-07,5.28320905905894e-34,1.7136395421174065e-27,0.623503984616161,0.00017352742708807325,0.17830635394886485,2.9031507453039953e-07,0.0,2.8649871674991683e-10,0.1728100997343714,1.3059590220114997e-10,9.005955840296317e-23,1.6622184299398928e-21
Hypoxia,3.6767048202503223e-10,1.7197767424225783e-208,6.36794981465002e-210,0.7479201557539124,0.14849483581404369,2.9758023183604647e-30,1.5503314456607595e-39,2.8649871674991683e-10,0.0,1.0470544429315445e-164,1.4717820328130956e-67,1.102440637126829e-232,3.7773305552424843e-159
Ferroptosis,1.2160094063190475e-15,2.9062557168710225e-108,1.277589734175853e-64,6.954924030624494e-13,1.405282618220905e-16,1.160006458448216e-12,8.816185024159603e-34,0.1728100997343714,1.0470544429315445e-164,0.0,3.8438382911090895e-68,4.148518162505747e-154,5.810722724835886e-120
FAO,7.196968062678243e-08,2.2649723792889738e-78,6.547366211588329e-35,2.394032013505551e-22,1.3307199042606684e-32,5.1066195062323544e-79,7.402294978116264e-05,1.3059590220114997e-10,1.4717820328130956e-67,3.8438382911090895e-68,0.0,7.92932645327991e-09,3.7577066419771124e-53
RPMS,9.65093623344155e-16,1.3680166220352442e-135,2.6318547337963565e-188,3.902944747118557e-11,2.234324459618033e-43,2.244728010640727e-08,6.293412434177302e-76,9.005955840296317e-23,1.102440637126829e-232,4.148518162505747e-154,7.92932645327991e-09,0.0,2.7342264102028665e-124
BPMS,6.14021173904759e-09,4.5882759071804725e-204,8.257222416877792e-124,0.7201595244398551,0.05896019281954253,5.0521165571706324e-15,0.0008476454484594801,1.6622184299398928e-21,3.7773305552424843e-159,5.810722724835886e-120,3.7577066419771124e-53,2.7342264102028665e-124,0.0
